hanzi,keyword,zhuyin,pinyin,decomposition,definition,example,example_zhuyin,example_pinyin,simplified,rth_index,frequency_index,learn_order,network_level,decompstr 
旡,,,jì,"{'character': '旡', 'once': ['𡕒', '乚'], 'radical': ['旡'], 'graphical': ['一', '丨', '㇜', '乚']}",,,,,旡,,,1025,1,"['𡕒乚 [hook]\t', '旡', '一\t丨\t㇜\t乚']"
虍,tiger,,hū,"{'character': '虍', 'once': ['No glyph available', '七'], 'radical': ['虍'], 'graphical': ['丨', '一', '冖', '乚', '一']}",,,,,虍,,,1036,1,"['七 [seven]\t', '虍', '丨\t一\t冖\t乚\t一']"
俞,slaughterhouse,,yú yù shù,"{'character': '俞', 'once': ['亼', '刖'], 'radical': ['人', '一', '月', '刂'], 'graphical': ['人', '一', '冂', '二', '亅', '丨']}",,,,,俞,,,1041,2,"['亼 [umbrella]刖\t', '人\t一\t月\t刂', '人\t一\t冂\t二\t亅\t丨']"
惊,,,jīng,"{'character': '惊', 'once': ['忄', '京'], 'radical': ['忄', '亠', '口', '小'], 'graphical': ['丨', '八', '一', '丶', '口', '亅', '八']}",,,,,惊,,,1046,2,"['忄 [state of mind/ electrode hat]京 [capital]\t', '忄\t亠\t口\t小', '丨\t八\t一\t丶\t口\t亅\t八']"
𡨄,,,xià sāi sài sè,"{'character': '𡨄', 'once': ['宀', 'No glyph available'], 'radical': ['宀', 'No glyph available', '二', '一', '八'], 'graphical': ['冖', '丶', '丨', '二', '一', '八']}",,,,,𡨄,,,1057,2,"['宀 [house]\t', '宀\tNo glyph available\t二\t一\t八', '冖\t丶\t丨\t二\t一\t八']"
禸,,,róu,"{'character': '禸', 'once': ['厶', '冂'], 'radical': ['禸'], 'graphical': ['㇛', '丶', '冂']}",,,,,禸,,,1066,1,"['厶冂\t', '禸', '㇛\t丶\t冂']"
𥁕,,,wēn yùn,"{'character': '𥁕', 'once': ['囚', '皿'], 'radical': ['囗', '人', '皿'], 'graphical': ['冂', '一', '人', '冂', '丨', '一']}",,,,,昷,,,1068,2,"['囚 [prisoner]皿 [dish]\t', '囗\t人\t皿', '冂\t一\t人\t冂\t丨\t一']"
宓,,,mì fú,"{'character': '宓', 'once': ['宀', '必'], 'radical': ['宀', '心', '丿'], 'graphical': ['冖', '丶', '𠁼', '㇃', '丿']}",,,,,宓,,,1069,2,"['宀 [house]必 [certainly]\t', '宀\t心\t丿', '冖\t丶\t𠁼\t㇃\t丿']"
𢦏,,,zāi,"{'character': '𢦏', 'once': ['土', '戈'], 'radical': ['土', '戈'], 'graphical': ['一', '丨', '一', '戈']}",,,,,𢦏,,,1077,2,"['土 [soil]戈 [halberd]\t', '土\t戈', '一\t丨\t一\t戈']"
舛,,,chuǎn,"{'character': '舛', 'once': ['夕', '㐄'], 'radical': ['舛'], 'graphical': ['夕', '一', '丨', '㇗', '丨']}",,,,,舛,,,1101,2,"['夕 [evening]㐄\t', '舛', '夕\t一\t丨\t㇗\t丨']"
杀,kill,,shā sà shài shè,"{'character': '杀', 'once': ['乂', '朩'], 'radical': ['乂', '十', '小'], 'graphical': ['乂', '一', '丨', '亅', '八']}",,,,,杀,,,1108,1,"['乂 [sheaf]朩\t', '乂\t十\t小', '乂\t一\t丨\t亅\t八']"
戉,parade,,yuè,"{'character': '戉', 'once': ['匚', '戈'], 'radical': ['匚', '戈'], 'graphical': ['一', '㇗', '戈']}",,,,,戉,,,1110,1,"['匚 [box]戈 [halberd]\t', '匚\t戈', '一\t㇗\t戈']"
玨,,,jué,"{'character': '玨', 'once': ['王'], 'radical': ['玨'], 'graphical': ['玨']}",,,,,玨,,,1115,2,"['王 [king]\t', '玨', '玨']"
敫,stir/*homing-pigeon,,jiǎo jiào,"{'character': '敫', 'once': ['No glyph available', '⺙'], 'radical': ['白', '方', '⺙'], 'graphical': ['口', '一', '㇒', '一', '丶', '丿', '㇆', '丿', '一', '乂']}",,,,,敫,,,1124,4,"['⺙ [taskmaster]\t', '白\t方\t⺙', '口\t一\t㇒\t一\t丶\t丿\t㇆\t丿\t一\t乂']"
曷,nap,,hé,"{'character': '曷', 'once': ['曰', '匃'], 'radical': ['曰', '勹', '人', '㇗'], 'graphical': ['口', '一', '㇆', '㇒', '人', '㇗']}",,,,,曷,,,1133,3,"['曰 [sayeth]匃\t', '曰\t勹\t人\t㇗', '口\t一\t㇆\t㇒\t人\t㇗']"
𠂢,,,pài,"{'character': '𠂢', 'once': ['⺁', 'No glyph available'], 'radical': ['⺁', '匚', 'No glyph available'], 'graphical': ['丿', '㇒', '一', '㇗', '冫']}",,,,,𠂢,,,1153,2,"['⺁\t', '⺁\t匚\tNo glyph available', '丿\t㇒\t一\t㇗\t冫']"
圣,,,shèng,"{'character': '圣', 'once': ['又', '土'], 'radical': ['又', '土'], 'graphical': ['㇇', '㇏', '一', '丨', '一']}",,,,,圣,,,1158,2,"['又 [again]土 [soil]\t', '又\t土', '㇇\t㇏\t一\t丨\t一']"
巩,secure,,gǒng,"{'character': '巩', 'once': ['工', '凡'], 'radical': ['工', '几', '丶'], 'graphical': ['一', '丨', '一', '丿', '㇠', '丶']}",,,,,巩,,,1171,2,"['工 [work/I-beam]凡 [ordinary]\t', '工\t几\t丶', '一\t丨\t一\t丿\t㇠\t丶']"
幺,cocoon,,yāo,"{'character': '幺', 'once': ['No glyph available', '丶'], 'radical': ['幺'], 'graphical': ['㇛', '丶']}",,,,,幺,,,1196,1,"['丶 [drop]\t', '幺', '㇛\t丶']"
奐,snow dogs,,huàn,"{'character': '奐', 'once': ['No glyph available', '大'], 'radical': ['⺈', '冂', '八', '大'], 'graphical': ['⺈', '冂', '八', '人', '一']}",,,,,奂,,,1216,2,"['大 [large]\t', '⺈\t冂\t八\t大', '⺈\t冂\t八\t人\t一']"
夋,street walker,,qūn,"{'character': '夋', 'once': ['厶', 'No glyph available'], 'radical': ['厶', '八', '夂'], 'graphical': ['㇛', '丶', '八', '㇇', '㇏', '㇒']}",,,,,夋,,,1216,4,"['厶\t', '厶\t八\t夂', '㇛\t丶\t八\t㇇\t㇏\t㇒']"
攸,,,yōu,"{'character': '攸', 'once': ['No glyph available', '⺙'], 'radical': ['亻', '丨', '⺙'], 'graphical': ['㇒', '丨', '丨', '丿', '一', '乂']}",,,,,攸,,,1216,3,"['⺙ [taskmaster]\t', '亻\t丨\t⺙', '㇒\t丨\t丨\t丿\t一\t乂']"
亘,sun rise to sunset,,gèn gèng,"{'character': '亘', 'once': ['一', '旦'], 'radical': ['一', '日', '一'], 'graphical': ['一', '口', '一', '一']}",,,,,亘,,,1226,1,"['一 [one]旦 [daybreak]\t', '一\t日\t一', '一\t口\t一\t一']"
𡿺,,,nǎo nào,"{'character': '𡿺', 'once': ['巛', 'No glyph available'], 'radical': ['巛', '囗', '乂', '丶'], 'graphical': ['巛', '冂', '一', '乂', '丶']}",,,,,㐫,,,1236,1,"['巛\t', '巛\t囗\t乂\t丶', '巛\t冂\t一\t乂\t丶']"
耑,prospector,,duān zhuān,"{'character': '耑', 'once': ['山', '而'], 'radical': ['山', '而'], 'graphical': ['丨', '凵', '一', '丿', '冂', '丨']}",,,,,耑,,,1236,1,"['山 [mountain]而 [and]\t', '山\t而', '丨\t凵\t一\t丿\t冂\t丨']"
纍,,,léi lěi lèi,"{'character': '纍', 'once': ['畾', '糸'], 'radical': ['畾', '糸'], 'graphical': ['畾', '㇛', '丶', '亅', '八']}",,,,,累,,,1265,2,"['畾糸 [thread]\t', '畾\t糸', '畾\t㇛\t丶\t亅\t八']"
亏,,,kuī,"{'character': '亏', 'once': ['二', '㇉'], 'radical': ['二', '㇉'], 'graphical': ['二', '㇉']}",,,,,亏,,,1266,2,"['二 [two]㇉\t', '二\t㇉', '二\t㇉']"
卬,stamp collection,,yǎng áng,"{'character': '卬', 'once': ['No glyph available', '卩'], 'radical': ['㇒', '㇗', '卩'], 'graphical': ['㇒', '㇗', '丨', '㇆']}",,,,,卬,,,1268,2,"['卩 [stamp]\t', '㇒\t㇗\t卩', '㇒\t㇗\t丨\t㇆']"
夆,,,féng fēng páng,"{'character': '夆', 'once': ['夂', '丰'], 'radical': ['夂', '一', '二', '丨'], 'graphical': ['㇇', '㇏', '㇒', '一', '二', '丨']}",,,,,夆,,,1278,3,"['夂 [walking legs/pattis]丰 [bushes]\t', '夂\t一\t二\t丨', '㇇\t㇏\t㇒\t一\t二\t丨']"
禺,Jimminey Cricket,,yú yù ǒu,"{'character': '禺', 'once': ['甲', '禸'], 'radical': ['冂', '二', '丨', '禸'], 'graphical': ['冂', '二', '丨', '㇛', '丶', '冂']}",,,,,禺,,,1279,2,"['甲 [first/oddish]禸\t', '冂\t二\t丨\t禸', '冂\t二\t丨\t㇛\t丶\t冂']"
牀,,,chuáng,"{'character': '牀', 'once': ['爿', '木'], 'radical': ['爿', '木'], 'graphical': ['爿', '一', '丨', '八']}",,,,,床,,,1288,2,"['爿 [bunk beds]木 [tree]\t', '爿\t木', '爿\t一\t丨\t八']"
尃,gummed label,,fū,"{'character': '尃', 'once': ['甫', '寸'], 'radical': ['十', '用', '丶', '寸'], 'graphical': ['一', '丨', '冂', '二', '丨', '丶', '𠂇', '亅', '丶']}",,,,,尃,,,1303,3,"['甫 [Fu]寸 [Chinese inch / glue]\t', '十\t用\t丶\t寸', '一\t丨\t冂\t二\t丨\t丶\t𠂇\t亅\t丶']"
叚,braces,,jiǎ jià xiá,"{'character': '叚', 'once': ['𡰥', 'No glyph available'], 'radical': ['尸', '二', 'No glyph available', '又'], 'graphical': ['丨', '匚', '二', '匚', '㇇', '㇏']}",,,,,叚,,,1310,3,"['𡰥\t', '尸\t二\tNo glyph available\t又', '丨\t匚\t二\t匚\t㇇\t㇏']"
氶,,,zhěng chéng zhèng,"{'character': '氶', 'once': ['㇖', '水'], 'radical': ['㇖', '水'], 'graphical': ['㇖', '亅', '㇇', '冫']}",,,,,氶,,,1322,2,"['㇖水 [water]\t', '㇖\t水', '㇖\t亅\t㇇\t冫']"
斿,,,liú yóu,"{'character': '斿', 'once': ['方', 'No glyph available'], 'radical': ['方', '丿', '一', '子'], 'graphical': ['一', '丶', '丿', '㇆', '丿', '一', '㇇', '亅', '一']}",,,,,斿,,,1332,2,"['方 [direction]\t', '方\t丿\t一\t子', '一\t丶\t丿\t㇆\t丿\t一\t㇇\t亅\t一']"
筑,,,zhù zhú,"{'character': '筑', 'once': ['⺮', '巩'], 'radical': ['⺮', '工', '几', '丶'], 'graphical': ['⺮', '一', '丨', '一', '丿', '㇠', '丶']}",,,,,筑,,,1340,3,"['⺮ [bamboo]巩 [secure]\t', '⺮\t工\t几\t丶', '⺮\t一\t丨\t一\t丿\t㇠\t丶']"
爰,migrating ducks,,yuán,"{'character': '爰', 'once': ['爫', 'No glyph available'], 'radical': ['爫', '干', '又'], 'graphical': ['爫', '一', '一', '丨', '㇇', '㇏']}",,,,,爰,,,1353,2,"['爫\t', '爫\t干\t又', '爫\t一\t一\t丨\t㇇\t㇏']"
囪,,,cōng chuāng,"{'character': '囪', 'once': ['No glyph available', 'No glyph available'], 'radical': ['囗', '丶', 'No glyph available', '㇏'], 'graphical': ['冂', '一', '丶', '㇒', '㇏']}",,,,,囱,,,1371,1,"['\t', '囗\t丶\tNo glyph available\t㇏', '冂\t一\t丶\t㇒\t㇏']"
龹,quarter,,juǎn juàn,"{'character': '龹', 'once': ['半', '八'], 'radical': ['二', '丨', '丷', '八'], 'graphical': ['二', '丨', '丷', '八']}",,,,,龹,,,1381,1,"['半 [half]八 [eight]\t', '二\t丨\t丷\t八', '二\t丨\t丷\t八']"
秘,,,mì bì bié,"{'character': '秘', 'once': ['禾', '必'], 'radical': ['禾', '心', '丿'], 'graphical': ['㇒', '一', '丨', '八', '𠁼', '㇃', '丿']}",,,,,秘,,,1404,2,"['禾 [standing grain]必 [certainly]\t', '禾\t心\t丿', '㇒\t一\t丨\t八\t𠁼\t㇃\t丿']"
尗,,,shú,"{'character': '尗', 'once': ['上', '小'], 'radical': ['⺊', '一', '小'], 'graphical': ['丨', '一', '一', '亅', '八']}",,,,,尗,,,1419,2,"['上 [above]小 [small]\t', '⺊\t一\t小', '丨\t一\t一\t亅\t八']"
厄,total disaster,,è,"{'character': '厄', 'once': ['厂', '㔾'], 'radical': ['厂', '乚', '㇆'], 'graphical': ['厂', '乚', '㇆']}",,,,,厄,,,1430,2,"['厂 [drag]㔾 [finger print]\t', '厂\t乚\t㇆', '厂\t乚\t㇆']"
鷄,,,jī,"{'character': '鷄', 'once': ['奚', '鳥'], 'radical': ['爫', '幺', '大', '鳥'], 'graphical': ['爫', '㇛', '丶', '人', '一', '匚', '一', '㇉', '丶', '一', '灬']}",,,,,鸡,,,1437,2,"['奚 [vulture in a cocoon]鳥 [bird]\t', '爫\t幺\t大\t鳥', '爫\t㇛\t丶\t人\t一\t匚\t一\t㇉\t丶\t一\t灬']"
墻,,,qiáng,"{'character': '墻', 'once': ['土', '嗇'], 'radical': ['土', '土', '从', '回'], 'graphical': ['一', '丨', '一', '一', '丨', '一', '从', '回']}",,,,,墙,,,1445,4,"['土 [soil]嗇\t', '土\t土\t从\t回', '一\t丨\t一\t一\t丨\t一\t从\t回']"
卂,crochet needles,,xùn xìn,"{'character': '卂', 'once': ['㇠', '十'], 'radical': ['㇠', '十'], 'graphical': ['㇠', '一', '丨']}",,,,,卂,,,1451,1,"['㇠十 [ten]\t', '㇠\t十', '㇠\t一\t丨']"
厷,by one's side/sidecar,,gōng hóng,"{'character': '厷', 'once': ['𠂇', '厶'], 'radical': ['𠂇', '厶'], 'graphical': ['𠂇', '㇛', '丶']}",,,,,厷,,,1453,2,"[""𠂇 [by one's side]厶\t"", '𠂇\t厶', '𠂇\t㇛\t丶']"
荼,,,tú chá shū yé,"{'character': '荼', 'once': ['艹', '余'], 'radical': ['艹', '人', '干', '小'], 'graphical': ['艹', '人', '一', '一', '丨', '亅', '八']}",,,,,荼,,,1453,3,"['艹 [flower]余 [extras]\t', '艹\t人\t干\t小', '艹\t人\t一\t一\t丨\t亅\t八']"
喿,3 little birds,,zào qiāo sào,"{'character': '喿', 'once': ['品', '木'], 'radical': ['品', '木'], 'graphical': ['品', '一', '丨', '八']}",,,,,喿,,,1461,3,"['品 [goods]木 [tree]\t', '品\t木', '品\t一\t丨\t八']"
耒,,,lěi,"{'character': '耒', 'once': ['丰', '八'], 'radical': ['耒'], 'graphical': ['一', '二', '丨', '八']}",,,,,耒,,,1481,2,"['丰 [bushes]八 [eight]\t', '耒', '一\t二\t丨\t八']"
䍃,,,yáo yóu,"{'character': '䍃', 'once': ['爪', '缶'], 'radical': ['爪', '缶'], 'graphical': ['丿', '㇒', '㇏', '丨', '一', '一', '丨', '㇒', '丨', '凵']}",,,,,䍃,,,1482,2,"['爪 [claw]缶 [tin can]\t', '爪\t缶', '丿\t㇒\t㇏\t丨\t一\t一\t丨\t㇒\t丨\t凵']"
兹,mysterious,,zī cí cī,"{'character': '兹', 'once': ['䒑', '𢆶'], 'radical': ['丷', '一', '𢆶'], 'graphical': ['丷', '一', '𢆶']}",,,,,兹,,,1491,2,"['䒑 [horn/bunny ears]𢆶\t', '丷\t一\t𢆶', '丷\t一\t𢆶']"
迹,,,jì jī,"{'character': '迹', 'once': ['辶', '亦'], 'radical': ['辶', '亠', '丨', '亅', '八'], 'graphical': ['丶', '㇆', '㇝', '一', '丶', '丨', '亅', '八']}",,,,,迹,,,1491,3,"['辶 [road]亦 [likewise]\t', '辶\t亠\t丨\t亅\t八', '丶\t㇆\t㇝\t一\t丶\t丨\t亅\t八']"
孚,bird that just hatched/fledgling,,fú fū,"{'character': '孚', 'once': ['爫', '子'], 'radical': ['爫', '子'], 'graphical': ['爫', '㇇', '亅', '一']}",,,,,孚,,,1491,2,"['爫子 [child]\t', '爫\t子', '爫\t㇇\t亅\t一']"
隶,,,lì,"{'character': '隶', 'once': ['⺺', '氺'], 'radical': ['隶'], 'graphical': ['匚', '一', '丨', '亅', '丶', '㇀', '冫']}",,,,,隶,,,1496,2,"['⺺氺\t', '隶', '匚\t一\t丨\t亅\t丶\t㇀\t冫']"
觜,,,zī zuǐ,"{'character': '觜', 'once': ['此', '角'], 'radical': ['止', '匕', '角'], 'graphical': ['丨', '一', '丨', '一', '乚', '㇒', '⺈', '冂', '二', '丨']}",,,,,觜,,,1523,3,"['此 [this (literary)]角 [angle]\t', '止\t匕\t角', '丨\t一\t丨\t一\t乚\t㇒\t⺈\t冂\t二\t丨']"
厃,,,wēi yán zhān,"{'character': '厃', 'once': ['⺈', '厂'], 'radical': ['⺈', '厂'], 'graphical': ['⺈', '厂']}",,,,,厃,,,1534,2,"['⺈厂 [drag]\t', '⺈\t厂', '⺈\t厂']"
𠂹,,,chuí,"{'character': '𠂹', 'once': ['亻', '𠈌'], 'radical': ['亻', '𠈌'], 'graphical': ['㇒', '丨', '𠈌']}",,,,,𠂹,,,1540,1,"['亻 [Jesus]𠈌\t', '亻\t𠈌', '㇒\t丨\t𠈌']"
辡,two chili peppers,,biàn,"{'character': '辡', 'once': ['辛'], 'radical': ['辡'], 'graphical': ['辡']}",,,,,辡,,,1541,2,"['辛 [peppery]\t', '辡', '辡']"
孰,enjoy,,shú,"{'character': '孰', 'once': ['享', '丸'], 'radical': ['亠', '口', '子', '丿', '㇈', '丶'], 'graphical': ['一', '丶', '口', '㇇', '亅', '一', '丿', '㇈', '丶']}",,,,,孰,,,1542,2,"['享 [enjoy]丸 [pill]\t', '亠\t口\t子\t丿\t㇈\t丶', '一\t丶\t口\t㇇\t亅\t一\t丿\t㇈\t丶']"
舀,,,yǎo,"{'character': '舀', 'once': ['爫', '臼'], 'radical': ['爫', '臼'], 'graphical': ['爫', '臼']}",,,,,舀,,,1563,2,"['爫臼 [mortar]\t', '爫\t臼', '爫\t臼']"
匃,,,gài,"{'character': '匃', 'once': ['勽', '㇗'], 'radical': ['勹', '人', '㇗'], 'graphical': ['㇆', '㇒', '人', '㇗']}",,,,,匃,,,1567,1,"['勽㇗\t', '勹\t人\t㇗', '㇆\t㇒\t人\t㇗']"
癶,teepee,,bō,"{'character': '癶', 'once': ['刁'], 'radical': ['癶'], 'graphical': ['癶']}",,,,,癶,,,1579,1,"['刁 [wily]\t', '癶', '癶']"
擡,,,tái,"{'character': '擡', 'once': ['扌', '臺'], 'radical': ['扌', '士', '口', '冖', '至'], 'graphical': ['亅', '二', '一', '丨', '一', '口', '冖', '一', '㇛', '丶', '一', '丨', '一']}",,,,,抬,,,1581,3,"['扌 [finger]臺 [Taiwan]\t', '扌\t士\t口\t冖\t至', '亅\t二\t一\t丨\t一\t口\t冖\t一\t㇛\t丶\t一\t丨\t一']"
启,,,qǐ,"{'character': '启', 'once': ['户', '口'], 'radical': ['户', '口'], 'graphical': ['丨', '匚', '丶', '口']}",,,,,启,,,1589,2,"['户 [door]口 [mouth]\t', '户\t口', '丨\t匚\t丶\t口']"
苟,revere,,gǒu gōu,"{'character': '苟', 'once': ['艹', '句'], 'radical': ['艹', '勹', '口'], 'graphical': ['艹', '㇆', '㇒', '口']}",,,,,苟,,,1594,3,"['艹 [flower]句 [sentence]\t', '艹\t勹\t口', '艹\t㇆\t㇒\t口']"
鬲,,,gé lì è,"{'character': '鬲', 'once': ['𠮛', 'No glyph available'], 'radical': ['鬲'], 'graphical': ['一', '口', '冂', '丷', '一', '丨']}",,,,,鬲,,,1594,1,"['𠮛\t', '鬲', '一\t口\t冂\t丷\t一\t丨']"
帛,white towel,,bó,"{'character': '帛', 'once': ['白', '巾'], 'radical': ['白', '巾'], 'graphical': ['口', '一', '㇒', '冂', '丨']}",,,,,帛,,,1611,2,"['白 [white/dove]巾 [towel]\t', '白\t巾', '口\t一\t㇒\t冂\t丨']"
毌,,,guàn wān,"{'character': '毌', 'once': ['囗', '十'], 'radical': ['囗', '十'], 'graphical': ['冂', '一', '一', '丨']}",,,,,毌,,,1628,1,"['囗十 [ten]\t', '囗\t十', '冂\t一\t一\t丨']"
乇,furball,,tuō zhé nè zhè,"{'character': '乇', 'once': ['㇒', '七'], 'radical': ['㇒', '乚', '一'], 'graphical': ['㇒', '乚', '一']}",,,,,乇,,,1647,1,"['㇒ [eyedropper]七 [seven]\t', '㇒\t乚\t一', '㇒\t乚\t一']"
癥,,,zhēng zhèng,"{'character': '癥', 'once': ['疒', 'No glyph available'], 'radical': ['疒', '彳', '山', '⺙', '一', '王'], 'graphical': ['一', '丶', '厂', '丶', '㇒', '丨', '丨', '凵', '丿', '一', '乂', '一', '一', '一', '丨', '一']}",,,,,症,,,1649,3,"['疒 [illness]\t', '疒\t彳\t山\t⺙\t一\t王', '一\t丶\t厂\t丶\t㇒\t丨\t丨\t凵\t丿\t一\t乂\t一\t一\t一\t丨\t一']"
鉆,,,zuān zuàn,"{'character': '鉆', 'once': ['金', '占'], 'radical': ['金', '⺊', '口'], 'graphical': ['人', '一', '一', '丨', '一', '丷', '丨', '一', '口']}",,,,,钻,,,1649,3,"['金 [gold]占 [tell fortunes]\t', '金\t⺊\t口', '人\t一\t一\t丨\t一\t丷\t丨\t一\t口']"
叟,,,sǒu,"{'character': '叟', 'once': ['No glyph available', '又'], 'radical': ['臼', '丨', '又'], 'graphical': ['臼', '丨', '㇇', '㇏']}",,,,,叟,,,1655,2,"['又 [again]\t', '臼\t丨\t又', '臼\t丨\t㇇\t㇏']"
臧,,,zāng zàng cáng záng,"{'character': '臧', 'once': ['No glyph available', '臣'], 'radical': ['爿', '厂', '戈', '臣'], 'graphical': ['爿', '厂', '戈', '一', '㇗', '丨', '匚']}",,,,,臧,,,1673,3,"['臣 [feudal official]\t', '爿\t厂\t戈\t臣', '爿\t厂\t戈\t一\t㇗\t丨\t匚']"
咼,,,wāi hé wǒ wā guǎ guō,"{'character': '咼', 'once': ['冎', '口'], 'radical': ['冂', '㇆', '冂', '口'], 'graphical': ['冂', '㇆', '冂', '口']}",,,,,呙,,,1688,3,"['冎口 [mouth]\t', '冂\t㇆\t冂\t口', '冂\t㇆\t冂\t口']"
匋,,,táo yáo,"{'character': '匋', 'once': ['勹', '缶'], 'radical': ['勹', '缶'], 'graphical': ['㇆', '㇒', '一', '一', '丨', '㇒', '丨', '凵']}",,,,,匋,,,1702,2,"['勹 [bound up]缶 [tin can]\t', '勹\t缶', '㇆\t㇒\t一\t一\t丨\t㇒\t丨\t凵']"
灾,,,zāi,"{'character': '灾', 'once': ['宀', '火'], 'radical': ['宀', '火'], 'graphical': ['冖', '丶', '丿', '丶', '冫']}",,,,,灾,,,1703,2,"['宀 [house]火 [fire]\t', '宀\t火', '冖\t丶\t丿\t丶\t冫']"
駡,,,mà,"{'character': '駡', 'once': ['吅', '馬'], 'radical': ['吅', '馬'], 'graphical': ['吅', '一', '二', '丨', '㇉', '灬']}",,,,,骂,,,1736,2,"['吅馬 [horse]\t', '吅\t馬', '吅\t一\t二\t丨\t㇉\t灬']"
夸,,,kuā kuà,"{'character': '夸', 'once': ['大', '亏'], 'radical': ['大', '二', '㇉'], 'graphical': ['人', '一', '二', '㇉']}",,,,,夸,,,1758,3,"['大 [large]亏\t', '大\t二\t㇉', '人\t一\t二\t㇉']"
荅,,,dá dā tà,"{'character': '荅', 'once': ['艹', '合'], 'radical': ['艹', '人', '一', '口'], 'graphical': ['艹', '人', '一', '口']}",,,,,荅,,,1771,3,"['艹 [flower]合 [fit/glass slipper]\t', '艹\t人\t一\t口', '艹\t人\t一\t口']"
帚,scarecrow,,zhǒu,"{'character': '帚', 'once': ['彐', 'No glyph available'], 'radical': ['彐', '冖', '巾'], 'graphical': ['㇕', '二', '冖', '冂', '丨']}",,,,,帚,,,1780,1,"['彐 [broom]\t', '彐\t冖\t巾', '㇕\t二\t冖\t冂\t丨']"
扑,,,pū,"{'character': '扑', 'once': ['扌', '卜'], 'radical': ['扌', '卜'], 'graphical': ['亅', '二', '丨', '丶']}",,,,,扑,,,1789,2,"['扌 [finger]卜 [divination]\t', '扌\t卜', '亅\t二\t丨\t丶']"
臽,,,xiàn,"{'character': '臽', 'once': ['⺈', '臼'], 'radical': ['⺈', '臼'], 'graphical': ['⺈', '臼']}",,,,,臽,,,1799,2,"['⺈臼 [mortar]\t', '⺈\t臼', '⺈\t臼']"
僞,,,wěi wèi,"{'character': '僞', 'once': ['亻', '爲'], 'radical': ['亻', '爫', '丿', 'No glyph available', '灬'], 'graphical': ['㇒', '丨', '爫', '丿', '㇆', '灬']}",,,,,伪,,,1806,2,"['亻 [Jesus]爲\t', '亻\t爫\t丿\tNo glyph available\t灬', '㇒\t丨\t爫\t丿\t㇆\t灬']"
賁,,,bì bēn féi fén fèn,"{'character': '賁', 'once': ['卉', '貝'], 'radical': ['十', '艹', '貝'], 'graphical': ['一', '丨', '艹', '口', '二', '八']}",,,,,贲,,,1819,4,"['卉貝 [shellfish]\t', '十\t艹\t貝', '一\t丨\t艹\t口\t二\t八']"
匈,Hungary/Clown Box,,xiōng,"{'character': '匈', 'once': ['勹', '凶'], 'radical': ['勹', '凵', '乂'], 'graphical': ['㇆', '㇒', '凵', '乂']}",,,,,匈,,,1819,3,"['勹 [bound up]凶 [sinister]\t', '勹\t凵\t乂', '㇆\t㇒\t凵\t乂']"
巟,,,huāng,"{'character': '巟', 'once': ['亡', 'No glyph available'], 'radical': ['匸', '丶', '儿', '丨'], 'graphical': ['匸', '丶', '丿', '乚', '丨']}",,,,,巟,,,1829,3,"['亡 [deceased/grim]\t', '匸\t丶\t儿\t丨', '匸\t丶\t丿\t乚\t丨']"
閑,,,xián,"{'character': '閑', 'once': ['門', '木'], 'radical': ['門', '木'], 'graphical': ['門', '一', '丨', '八']}",,,,,闲,,,1838,2,"['門 [gate]木 [tree]\t', '門\t木', '門\t一\t丨\t八']"
囷,,,qūn,"{'character': '囷', 'once': ['囗', '禾'], 'radical': ['囗', '禾'], 'graphical': ['冂', '一', '㇒', '一', '丨', '八']}",,,,,囷,,,1872,2,"['囗禾 [standing grain]\t', '囗\t禾', '冂\t一\t㇒\t一\t丨\t八']"
嗇,,,sè,"{'character': '嗇', 'once': ['坐', '回'], 'radical': ['土', '从', '回'], 'graphical': ['一', '丨', '一', '从', '回']}",,,,,啬,,,1883,3,"['坐 [sit]回 [return]\t', '土\t从\t回', '一\t丨\t一\t从\t回']"
夗,cool side of the pillow,,yuàn wǎn wān yuān,"{'character': '夗', 'once': ['夕', '㔾'], 'radical': ['夕', '乚', '㇆'], 'graphical': ['夕', '乚', '㇆']}",,,,,夗,,,1885,2,"['夕 [evening]㔾 [finger print]\t', '夕\t乚\t㇆', '夕\t乚\t㇆']"
閏,,,rùn,"{'character': '閏', 'once': ['門', '王'], 'radical': ['門', '王'], 'graphical': ['門', '一', '一', '丨', '一']}",,,,,闰,,,1895,2,"['門 [gate]王 [king]\t', '門\t王', '門\t一\t一\t丨\t一']"
𣶒,,,yuān,"{'character': '𣶒', 'once': ['No glyph available', '一'], 'radical': ['No glyph available', '一'], 'graphical': ['片', '一']}",,,,,𫂱,,,1906,1,"['一 [one]\t', 'No glyph available\t一', '片\t一']"
奄,,,yǎn yān,"{'character': '奄', 'once': ['大', '电'], 'radical': ['大', '日', '丨', '乚'], 'graphical': ['人', '一', '口', '一', '丨', '乚']}",,,,,奄,,,1907,3,"['大 [large]电 [electric kite]\t', '大\t日\t丨\t乚', '人\t一\t口\t一\t丨\t乚']"
猎,,,liè,"{'character': '猎', 'once': ['犭', '昔'], 'radical': ['犭', '艹', '一', '日'], 'graphical': ['㇁', '㇒', '艹', '一', '口', '一']}",,,,,猎,,,1908,3,"['犭 [pack of wild dogs]昔 [times past]\t', '犭\t艹\t一\t日', '㇁\t㇒\t艹\t一\t口\t一']"
