木,tree,ㄇㄨ`,mù,木,"tree; wood, lumber; wooden",木頭 樹木 木材,ㄇㄨ`ㄊㄡ˙  ㄕㄨ`ㄇㄨ`  ㄇㄨ`ㄘㄞˊ,mùtou shùmù mùcái,,191,732
來,come,ㄌㄞˊ,lái,木人人,"come, coming; return, returning",進來 起來 後來,ㄐㄧㄣ`ㄌㄞˊ  ㄑㄧˇㄌㄞ˙  ㄏㄡ`ㄌㄞˊ,jìnlái qǐlai hòulái,来,789,24
力,power,ㄌㄧ`,lì,大尸,"power, capability, influence",巧克力 努力 力量,ㄑㄧㄠˇㄎㄜ`ㄌㄧ`  ㄋㄨˇㄌㄧ`  ㄌㄧ`ㄌㄧㄤ˙,qiǎokèlì nǔlì lìliang,,687,141
五,five,ㄨˇ,wǔ,一木一,five; surname,五金,ㄨˇㄐㄧㄣ ,wǔjīn,,5,309
學,study,ㄒㄩㄝˊ,xué,竹月弓木,"learning, knowledge; school",學生 大學 學校,ㄒㄩㄝˊㄕㄥ˙  ㄉㄚ`ㄒㄩㄝˊ  ㄒㄩㄝˊㄒㄧㄠ`,xuésheng Dàxué xuéxiào,学,1110,25
乙,second,ㄧˇ,yǐ,弓山,second; 2nd heavenly stem,,,,,91,1422
京,capital,ㄐㄧㄥ,jīng,卜口火,capital city,京劇,ㄐㄧㄥ ㄐㄩ`,Jīngjù,,301,1339
尤,remarkable,ㄧㄡˊ,yóu,戈大山,"especially, particularly",尤其,ㄧㄡˊㄑㄧˊ,yóuqí,,226,880
就,at once,ㄐㄧㄡ`,jiù,卜火戈大山,"just, simply; to come, go to; to approach, near",成就 就是 就算,ㄔㄥˊㄐㄧㄡ`  ㄐㄧㄡ`ㄕ`  ㄐㄧㄡ`ㄙㄨㄢ`,chéngjiù jiùshì jiùsuàn,,304,26
入,enter,ㄖㄨ`,rù,人竹,"enter, come in(to), join",加入 深入 進入,ㄐㄧㄚ ㄖㄨ`  ㄕㄣ ㄖㄨ`  ㄐㄧㄣ`ㄖㄨ`,jiārù shēnrù jìnrù,,638,230
六,six,ㄌㄧㄡ`,liù,卜金,number six,,,,,6,486
父,father,ㄈㄨ`,fù,金大,father; KangXi radical 88,父親 父母 祖父,ㄈㄨ`ㄑㄧㄣ   ㄈㄨ`ㄇㄨˇ  ㄗㄨˇㄈㄨ`,fùqīn fùmǔ zǔfù,,968,861
交,mingle,ㄐㄧㄠ,jiāo,卜金大,"mix; intersect; exchange, communicate; deliver",交通 交流 交友,ㄐㄧㄠ ㄊㄨㄥ   ㄐㄧㄠ ㄌㄧㄡˊ  ㄐㄧㄠ ㄧㄡˇ,jiāotōng jiāoliú jiāoyǒu,,969,27
也,also,ㄧㄝˇ,yě,心木,also; classical final particle of strong affirmation or identity,也許,ㄧㄝˇㄒㄩˇ,yěxǔ,,476,28
用,utilize,ㄩㄥ`,yòng,月手,"use, employ, apply, operate; use",有用 信用卡 不用,ㄧㄡˇㄩㄥ`  ㄒㄧㄣ`ㄩㄥ`ㄎㄚˇ  ㄅㄨ`ㄩㄥ`,yǒuyòng xìnyòngkǎ bùyòng,,896,29
匕,ancient spoon,ㄅㄧˇ,bǐ,山竹,"spoon, ladle; knife, dirk",,,,,419,3614
